command_id,run_key,dataset_class,task_type,task_phase,pose_name,attack_severity,attack_target_object,attack_active,outer_fold,target_reference_deviation_l2_rad,final_position_reference_deviation_l2_rad,velocity_profile_reference_deviation_l2_rad_s,effort_profile_reference_deviation_l2_nm,proxy_time_reference_deviation_s,final_tracking_error_l2_rad,analysis_label,target_reference_deviation_l2_rad_normal_percentile,final_position_reference_deviation_l2_rad_normal_percentile,velocity_profile_reference_deviation_l2_rad_s_normal_percentile,effort_profile_reference_deviation_l2_nm_normal_percentile,proxy_time_reference_deviation_s_normal_percentile,final_tracking_error_l2_rad_normal_percentile,composite_impact_percentile
40eb5a839c9640e08bd32ce54e19b1eb,20260721_072257:9,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,high,cube,1,4,0.7258389490789262,0.7226145577839789,0.7111361834450918,7.858125373331058,0.39964849550000003,0.0020104196954845,Replay,100.0,100.0,100.0,87.3076923076923,98.65384615384616,11.423076923076923,82.8974358974359
39b66642623d42ff992911765f15a6e9,20260721_072521:14,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,low,cube,1,4,0.25487985404892244,0.20238628269142395,0.464010187518021,170.32758011307226,0.09975642350000002,0.0642164611217807,Replay,100.0,100.0,99.96153846153845,100.0,97.92307692307692,85.46153846153847,97.22435897435896
ea00dcb1a3474228a3d56a2d8540aa7d,20260721_072809:21,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,medium,cube,1,4,0.3266925465938884,0.33566959685718695,0.2561046668866154,1.4571651600059439,0.3994879455,0.0019385958220954,Replay,100.0,100.0,99.76923076923076,70.23076923076923,98.65384615384616,10.23076923076923,79.81410256410257
0301e676743b4c4797ad40a61d5366a3,20260721_073207:30,replay_attack,long_cube_then_cylinder_sort,cylinder_retreat,long_cylinder_place_mid,low,cylinder,1,4,0.2940887961143711,0.27018705338897386,0.39078137444350197,151.5081275974676,0.1492565039999999,0.0339564460423555,Replay,100.0,100.0,99.96153846153845,100.0,98.34615384615385,81.03846153846153,96.5576923076923
0eaba93721db45e39c4376257e6bf4b4,20260721_073245:31,replay_attack,long_cube_then_cylinder_sort,cube_retreat,long_cube_place_mid,medium,cube,1,4,0.3266925465938884,0.32316778540005386,0.2159696417235728,1.3192280541142742,0.399458391,0.0103240382213597,Replay,100.0,100.0,98.8076923076923,69.76923076923077,98.65384615384616,39.96153846153846,84.53205128205128
64dfc02ece724e5b8d1d6d274883e625,20260721_073806:42,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,high,cube,1,4,0.7258389490789262,0.6998471919609204,0.7215081390797191,17.65777712423786,0.34949585250000004,0.0257267480778526,Replay,100.0,100.0,100.0,94.8076923076923,98.57692307692307,79.53846153846153,95.48717948717949
2f6e33d7556444e7bbdd98d453be626e,20260721_073905:45,replay_attack,long_cube_then_cylinder_sort,cube_retreat,long_cube_place_mid,low,cube,1,4,0.25487985404892244,0.20852844968706988,0.30212850427116283,170.08501087117796,0.09928787400000005,0.0641770130035431,Replay,100.0,100.0,99.96153846153845,100.0,97.65384615384616,85.46153846153847,97.17948717948718
ed6d8b9352ab4fe09202f53dcebd58c0,20260721_074135:50,replay_attack,long_cube_then_cylinder_sort,cylinder_retreat,long_cylinder_place_mid,medium,cylinder,1,4,0.3266925465938884,0.322978236820463,0.16286299173931432,1.3502456620216967,0.39941985299999994,0.0131257007731348,Replay,100.0,100.0,98.26923076923076,69.96153846153847,98.65384615384616,50.96153846153846,86.3076923076923
1fc4e1a792a2428c949a138606cce00d,20260721_074620:58,replay_attack,long_cube_then_cylinder_sort,cube_retreat,long_cube_place_mid,high,cube,1,4,0.7258389490789262,0.7119334853260623,0.41687466876290974,7.681478265629314,0.6994343350000001,0.0136543127031078,Replay,100.0,100.0,99.96153846153845,87.1923076923077,98.73076923076923,54.11538461538462,90.0
4d05bf40421e455fa5dba5b6b34386f0,20260721_074737:60,replay_attack,long_cube_then_cylinder_sort,cylinder_retreat,long_cylinder_place_mid,high,cylinder,1,4,0.7956422500093872,0.7828957986559004,0.3644720125257511,15.060088460573537,0.49942418099999997,0.0143825343681716,Replay,100.0,100.0,99.96153846153845,92.88461538461539,98.65384615384616,56.42307692307692,91.32051282051282
c9043e93454e4ecc81d22b0cf582e47c,20260721_074832:62,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,medium,cube,1,4,0.3266925465938884,0.3199465991149788,0.2715753108924543,1.365295145602785,0.3494611395,0.0181074840769786,Replay,100.0,100.0,99.8076923076923,69.96153846153847,98.57692307692307,67.34615384615384,89.28205128205127
25c54984855b461aadfd9da4769658de,20260721_074919:64,replay_attack,long_cube_then_cylinder_sort,cylinder_retreat,long_cylinder_place_mid,high,cylinder,1,4,0.7956422500093872,0.779356099441063,0.37565581094055067,9.778150013865968,0.49936154199999994,0.0167082625514894,Replay,100.0,100.0,99.96153846153845,88.88461538461539,98.65384615384616,64.42307692307693,91.98717948717949
8781318f7ae04841b3e7a092cbe5ba81,20260721_075017:66,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,medium,cube,1,4,0.3266925465938884,0.3124798038203335,0.26902563383807154,1.2998664419053354,0.3496224305000001,0.0258021802102025,Replay,100.0,100.0,99.8076923076923,69.76923076923077,98.57692307692307,79.6923076923077,91.30769230769232
bf0259a2f5514bd79b1938f2fb286d28,20260721_075155:69,replay_attack,long_cube_then_cylinder_sort,cylinder_retreat,long_cylinder_place_mid,high,cylinder,1,4,0.7956422500093872,0.7770048466947909,0.36367780857945486,11.45281256474775,0.4997621429999999,0.0184931495196588,Replay,100.0,100.0,99.96153846153845,90.92307692307692,98.65384615384616,68.34615384615384,92.98076923076923
9a3c0b665cd9499d95af5803eece1aa7,20260721_075558:78,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,high,cube,1,4,0.7258389490789262,0.7016019005416078,0.7245554983212926,7.1541604526170595,0.3496870605,0.0238906597026232,Replay,100.0,100.0,100.0,85.6923076923077,98.57692307692307,78.57692307692308,93.8076923076923
b8252c5159694efea786d63bd329db46,20260721_080031:88,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,low,cube,1,4,0.25487985404892244,0.20281910153655155,0.4640107127060218,170.3283636173315,0.09950813450000007,0.0642389371998299,Replay,100.0,100.0,99.96153846153845,100.0,97.8076923076923,85.46153846153847,97.20512820512822
