held_out_attack,outer_fold,feature_set,model,threshold,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,false_positive_rate,attack_event_recall,attacked_run_recall,normal_run_false_positive_rate,tn,fp,fn,tp
denial_of_service,5,fused,random_forest,0.61,0.0,0.0,0.0,0.5,0.9994078947368421,0.9758837741635731,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,5,fused,hist_gradient_boosting,0.515,0.0,0.0,0.0,0.5,0.8468421052631578,0.36967720926705994,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,1,cyber_only,logistic_regression,0.665,0.6666666666666666,0.1,0.17391304347826086,0.549342105263158,0.8426315789473684,0.3980868355464116,0.0013157894736842105,0.1,0.15,0.0,759,1,18,2
mitm_trajectory_manipulation,1,cyber_only,random_forest,0.625,0.0,0.0,0.0,0.5,0.9920394736842105,0.6941287377128338,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,1,cyber_only,hist_gradient_boosting,0.68,0.0,0.0,0.0,0.5,0.9951315789473684,0.8733787390781097,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,1,physical_only,logistic_regression,0.87,0.6153846153846154,0.4,0.48484848484848486,0.6967105263157896,0.9807894736842105,0.5576864010017798,0.006578947368421052,0.4,0.4,0.125,755,5,12,8
mitm_trajectory_manipulation,1,physical_only,random_forest,0.325,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.0,1.0,1.0,0.0,760,0,0,20
mitm_trajectory_manipulation,1,physical_only,hist_gradient_boosting,0.11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,760,0,0,20
mitm_trajectory_manipulation,1,fused,logistic_regression,0.9400000000000001,0.0,0.0,0.0,0.5,0.9592763157894737,0.498794664038789,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,1,fused,random_forest,0.73,0.0,0.0,0.0,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,1,fused,hist_gradient_boosting,0.99,0.0,0.0,0.0,0.5,0.9944078947368422,0.8816784999486238,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,2,cyber_only,logistic_regression,0.6900000000000001,0.0,0.0,0.0,0.5,0.7686184210526316,0.07129314123019391,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,2,cyber_only,random_forest,0.52,0.0,0.0,0.0,0.5,0.9988815789473684,0.9566322669418648,0.0,0.0,0.0,0.0,760,0,20,0
mitm_trajectory_manipulation,2,cyber_only,hist_gradient_boosting,0.74,1.0,0.1,0.18181818181818182,0.55,0.9638815789473684,0.7772744079040264,0.0,0.1,0.1,0.0,760,0,18,2
mitm_trajectory_manipulation,2,physical_only,logistic_regression,0.93,0.6666666666666666,0.2,0.3076923076923077,0.5986842105263158,0.9742763157894737,0.5110555220298875,0.002631578947368421,0.2,0.2,0.05,758,2,16,4
